id,page_id,page_name,ad_snapshot_url,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,bylines,languages,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,delivery_by_region
639351543399493,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=639351543399493&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['""Joe Biden understands that in order to build back better, we’ve got to start by prioritizing middle class families and small businesses, not big corporations. That’s why his plan invests billions of additional federal dollars in goods made by Americans, for Americans.""']",['joebiden.com'],['We are the United States of America. There is not a single thing we cannot do. Are you with us? Join our campaign to elect Joe Biden today!'],['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.001907', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000922', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.054154', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.179368', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.180544', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.100172', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.110754', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.289519', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.053232', 'age': '65+', 'gender': 'female'}, {'percentage': '0.026441', 'age': '65+', 'gender': 'male'}, {'percentage': '0.002225', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000763', 'age': '65+', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'North Carolina'}]"
663961054306323,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=663961054306323&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,,['joebiden.com'],,['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.000506', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.00297', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.133911', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.171575', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.19502', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.145033', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.097321', 'age': '65+', 'gender': 'female'}, {'percentage': '0.120576', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.080827', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.049166', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001074', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.002022', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'North Carolina'}]"
359741565107037,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=359741565107037&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['""As president, Joe Biden won’t just rebuild our country. He’ll build back better than ever.""']",['joebiden.com'],['We are the United States of America. There is not a single thing we cannot do. Are you with us? Join our campaign to elect Joe Biden today!'],['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.001571', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001047', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.075819', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.135302', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.168185', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.147241', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.042099', 'age': '65+', 'gender': 'male'}, {'percentage': '0.10776', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.228191', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.003979', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.087025', 'age': '65+', 'gender': 'female'}, {'percentage': '0.00178', 'age': '55-64', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Pennsylvania'}]"
1276560629343753,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=1276560629343753&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['""Joe Biden understands that in order to build back better, we’ve got to start by prioritizing middle class families and small businesses, not big corporations. That’s why his plan invests billions of additional federal dollars in goods made by Americans, for Americans.""']",['joebiden.com'],['We are the United States of America. There is not a single thing we cannot do. Are you with us? Join our campaign to elect Joe Biden today!'],['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.000839', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001342', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.055956', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.168758', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.110067', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.027416', 'age': '65+', 'gender': 'male'}, {'percentage': '0.113221', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.269228', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.186644', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.004362', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001695', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.06047', 'age': '65+', 'gender': 'female'}]","[{'percentage': '1', 'region': 'Pennsylvania'}]"
3633526403352314,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=3633526403352314&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,,['joebiden.com'],,['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.000801', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.038035', 'age': '65+', 'gender': 'male'}, {'percentage': '0.06898', 'age': '65+', 'gender': 'female'}, {'percentage': '0.106522', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.188016', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.059364', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.105289', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.000801', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.157379', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.267784', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.004623', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.002404', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Pennsylvania'}]"
1236214630084388,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=1236214630084388&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,,['joebiden.com'],,['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.003411', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.153245', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.098003', 'age': '65+', 'gender': 'female'}, {'percentage': '0.069634', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.217637', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.129451', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.169384', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.107155', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.04817', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001498', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001414', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000998', 'age': '65+', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Pennsylvania'}]"
2173235156143800,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=2173235156143800&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,,['joebiden.com'],,['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.002854', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.174851', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.058297', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.036284', 'age': '65+', 'gender': 'male'}, {'percentage': '0.116281', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.076713', 'age': '65+', 'gender': 'female'}, {'percentage': '0.268846', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.101345', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.160698', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.001642', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001642', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000547', 'age': '65+', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Pennsylvania'}]"
706551956646820,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=706551956646820&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,,['joebiden.com'],,['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.000491', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001301', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000931', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.059143', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.195858', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.048331', 'age': '65+', 'gender': 'female'}, {'percentage': '0.26422', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.176477', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.109746', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.115983', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.024396', 'age': '65+', 'gender': 'male'}, {'percentage': '0.003123', 'age': '35-44', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Pennsylvania'}]"
1743890915775577,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=1743890915775577&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,,['joebiden.com'],,['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.001032', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.068624', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.118325', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.165747', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.07375', 'age': '65+', 'gender': 'female'}, {'percentage': '0.243022', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.104564', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.179561', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.038451', 'age': '65+', 'gender': 'male'}, {'percentage': '0.003525', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001531', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001869', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Pennsylvania'}]"
799021877326204,7860876103,Joe Biden,https://www.facebook.com/ads/archive/render_ad/?id=799021877326204&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,,['joebiden.com'],,['BIDEN FOR PRESIDENT'],BIDEN FOR PRESIDENT,['en'],2020-11-03,2020-11-03,"[{'percentage': '0.002447', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.104965', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.291485', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.202255', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.056944', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.119837', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.039194', 'age': '65+', 'gender': 'female'}, {'percentage': '0.153706', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.022835', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001823', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000768', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.003742', 'age': '35-44', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'North Carolina'}]"
