id,page_id,page_name,ad_snapshot_url,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,bylines,languages,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,delivery_by_region
3532476890175809,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=3532476890175809&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['The Cook Political Report JUST ranked Nevada as a PURE TOSS-UP in 2020.\n\nIn order to keep Nevada blue, we need your support right now! Donate now and help to keep our state blue!']",['secure.actblue.com'],['Join us! Contribute today.'],['Democrats could lose this election - Your support is needed now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,,
1499641360225022,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=1499641360225022&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['After Trump’s disastrous response to the COVID-19 pandemic, Gov. Sisolak has worked around the clock to restore our state. \n\nNow Trump’s allies are organizing to recall the Governor! \n\nWe need your help to stop their momentum. Can you chip in to help put an end to these partisan attacks? →']",['secure.actblue.com'],,['Donate to defend our Governor - Fight against partisan attacks!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,,
657893401582585,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=657893401582585&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['JUST IN: Republicans are outspending Democrats in battleground Nevada. Trump’s campaign is determined to flip our state red to win reelection. \n\nWe need grassroots supporters to step up RIGHT NOW. Please chip in to make sure we keep Nevada BLUE!l'],['secure.actblue.com'],,['Cook Political Report: ‘Nevada shifts right’ - Help out now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,,
265748521522217,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=265748521522217&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['The Cook Political Report JUST ranked Nevada as a PURE TOSS-UP in 2020.\n\nIn order to keep Nevada blue, we need your support right now! Donate now and help to keep our state blue!']",['secure.actblue.com'],['Join us! Contribute today.'],['Democrats could lose this election - Your support is needed now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,,
1089912501427060,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=1089912501427060&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['JUST IN: Republicans are outspending Democrats in battleground Nevada. Trump’s campaign is determined to flip our state red to win reelection. \n\nWe need grassroots supporters to step up RIGHT NOW. Please chip in to make sure we keep Nevada BLUE!l'],['secure.actblue.com'],,['Cook Political Report: ‘Nevada shifts right’ - Help out now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,,
771441343587972,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=771441343587972&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Gov. Steve Sisolak has worked tirelessly to fight against the pandemic and to keep Nevadans safe, despite President Trump’s misinformation \n\nThe Governor needs to fight back, are you with him?']",['secure.actblue.com'],['Join us! Contribute today.'],['President Trump spreads misinformation - Stand with Governor Sisolak now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-26,,
1453742031482323,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=1453742031482323&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['JUST IN: Republicans are outspending Democrats in battleground Nevada. Trump’s campaign is determined to flip our state red to win reelection. \n\nWe need grassroots supporters to step up RIGHT NOW. Please chip in to make sure we keep Nevada BLUE!l'],['secure.actblue.com'],,['Cook Political Report: ‘Nevada shifts right’ - Help out now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,,
1045648082536572,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=1045648082536572&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['JUST IN: Republicans are outspending Democrats in battleground Nevada. Trump’s campaign is determined to flip our state red to win reelection. \n\nWe need grassroots supporters to step up RIGHT NOW. Please chip in to make sure we keep Nevada BLUE!l'],['secure.actblue.com'],,['Cook Political Report: ‘Nevada shifts right’ - Help out now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,"[{'percentage': '0.002315', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.002315', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.020833', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.034722', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.05787', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.00463', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.092593', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.115741', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.085648', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.222222', 'age': '65+', 'gender': 'female'}, {'percentage': '0.199074', 'age': '65+', 'gender': 'male'}, {'percentage': '0.05787', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.081019', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.009259', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.011574', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.002315', 'age': '35-44', 'gender': 'unknown'}]","[{'percentage': '0.00463', 'region': 'Alabama'}, {'percentage': '0.006944', 'region': 'Tennessee'}, {'percentage': '0.020833', 'region': 'New Jersey'}, {'percentage': '0.006944', 'region': 'New Mexico'}, {'percentage': '0.053241', 'region': 'New York'}, {'percentage': '0.013889', 'region': 'North Carolina'}, {'percentage': '0.018519', 'region': 'Ohio'}, {'percentage': '0.002315', 'region': 'Oklahoma'}, {'percentage': '0.020833', 'region': 'Oregon'}, {'percentage': '0.011574', 'region': 'Pennsylvania'}, {'percentage': '0.00463', 'region': 'South Dakota'}, {'percentage': '0.041667', 'region': 'Texas'}, {'percentage': '0.391204', 'region': 'Nevada'}, {'percentage': '0.00463', 'region': 'Utah'}, {'percentage': '0.009259', 'region': 'Virginia'}, {'percentage': '0.018519', 'region': 'Washington'}, {'percentage': '0.002315', 'region': 'West Virginia'}, {'percentage': '0.016204', 'region': 'Wisconsin'}, {'percentage': '0.002315', 'region': 'Wyoming'}, {'percentage': '0.00463', 'region': 'North Dakota'}, {'percentage': '0.002315', 'region': 'Rhode Island'}, {'percentage': '0.002315', 'region': 'South Carolina'}, {'percentage': '0.00463', 'region': 'New Hampshire'}, {'percentage': '0.006944', 'region': 'Nebraska'}, {'percentage': '0.00463', 'region': 'Alaska'}, {'percentage': '0.002315', 'region': 'Idaho'}, {'percentage': '0.016204', 'region': 'Arizona'}, {'percentage': '0.002315', 'region': 'Arkansas'}, {'percentage': '0.12037', 'region': 'California'}, {'percentage': '0.018519', 'region': 'Colorado'}, {'percentage': '0.00463', 'region': 'Connecticut'}, {'percentage': '0.002315', 'region': 'Delaware'}, {'percentage': '0.006944', 'region': 'Washington, District of Columbia'}, {'percentage': '0.027778', 'region': 'Florida'}, {'percentage': '0.016204', 'region': 'Georgia'}, {'percentage': '0.009259', 'region': 'Illinois'}, {'percentage': '0.009259', 'region': 'Montana'}, {'percentage': '0.009259', 'region': 'Indiana'}, {'percentage': '0.00463', 'region': 'Iowa'}, {'percentage': '0.00463', 'region': 'Kansas'}, {'percentage': '0.00463', 'region': 'Kentucky'}, {'percentage': '0.009259', 'region': 'Maryland'}, {'percentage': '0.016204', 'region': 'Massachusetts'}, {'percentage': '0.018519', 'region': 'Michigan'}, {'percentage': '0.016204', 'region': 'Minnesota'}, {'percentage': '0.002315', 'region': 'Missouri'}, {'percentage': '0.002315', 'region': 'Vermont'}]"
403400481012570,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=403400481012570&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['The Cook Political Report JUST ranked Nevada as a PURE TOSS-UP in 2020.\n\nIn order to keep Nevada blue, we need your support right now! Donate now and help to keep our state blue!']",['secure.actblue.com'],['Join us! Contribute today.'],['Democrats could lose this election - Your support is needed now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,,
2723930114524793,1556928477963264,Steve Sisolak,https://www.facebook.com/ads/archive/render_ad/?id=2723930114524793&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['While Governor Sisolak is doing everything he can to protect Nevadans, President Trump is endangering them. \n\nHe held a rally in Nevada that drew thousands, despite the recommendations by his administrations not to hold large gatherings. \n\nGovernor Sisolak needs your help to keep fighting against Trump’s reckless leadership and to protect Nevadans. Chip in to help Steve reach his end-of-month fundraising goal →']",['secure.actblue.com'],['Join us! Contribute today.'],['Help protect Nevadans  - Support Steve Sisolak now!'],Committee to Elect Steve Sisolak,['en'],2020-10-26,2020-10-27,"[{'percentage': '0.040816', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.047619', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.040816', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.190476', 'age': '65+', 'gender': 'male'}, {'percentage': '0.115646', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.136054', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.176871', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.210884', 'age': '65+', 'gender': 'female'}, {'percentage': '0.027211', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.006803', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.006803', 'age': '25-34', 'gender': 'female'}]","[{'percentage': '0.006803', 'region': 'Arizona'}, {'percentage': '0.034014', 'region': 'New York'}, {'percentage': '0.006803', 'region': 'Utah'}, {'percentage': '0.013605', 'region': 'Maryland'}, {'percentage': '0.006803', 'region': 'Idaho'}, {'percentage': '0.006803', 'region': 'Wisconsin'}, {'percentage': '0.006803', 'region': 'West Virginia'}, {'percentage': '0.020408', 'region': 'Virginia'}, {'percentage': '0.013605', 'region': 'Vermont'}, {'percentage': '0.07483', 'region': 'Texas'}, {'percentage': '0.006803', 'region': 'Tennessee'}, {'percentage': '0.006803', 'region': 'Pennsylvania'}, {'percentage': '0.020408', 'region': 'Oregon'}, {'percentage': '0.006803', 'region': 'Ohio'}, {'percentage': '0.006803', 'region': 'North Dakota'}, {'percentage': '0.013605', 'region': 'North Carolina'}, {'percentage': '0.006803', 'region': 'New Mexico'}, {'percentage': '0.319728', 'region': 'California'}, {'percentage': '0.061224', 'region': 'New Jersey'}, {'percentage': '0.122449', 'region': 'Nevada'}, {'percentage': '0.020408', 'region': 'Nebraska'}, {'percentage': '0.013605', 'region': 'Missouri'}, {'percentage': '0.047619', 'region': 'Minnesota'}, {'percentage': '0.013605', 'region': 'Michigan'}, {'percentage': '0.027211', 'region': 'Massachusetts'}, {'percentage': '0.006803', 'region': 'Kansas'}, {'percentage': '0.006803', 'region': 'Iowa'}, {'percentage': '0.020408', 'region': 'Illinois'}, {'percentage': '0.013605', 'region': 'Georgia'}, {'percentage': '0.027211', 'region': 'Florida'}, {'percentage': '0.006803', 'region': 'Washington, District of Columbia'}, {'percentage': '0.027211', 'region': 'Connecticut'}, {'percentage': '0.006803', 'region': 'Washington'}]"
